Transaction Type,Amount,Sender ID,Sender Balance,Transaction Time,Receiver ID,Receiver Balance,Device Type,IP Address,Latitude,Longitude,Is Fraudulent
WITHDRAWAL,5575.44,C896233790,24489.19,3:43,M395310485,13953.79,Web,238.149.32.161,-14.054072,-169.273001,0
PAYMENT,11640.72,C746412689,56124.51,22:34,M128492780,71601.96,Desktop,66.124.160.81,55.697482,-177.660447,1
PAYMENT,34909.99,C465341213,15547.95,10:6,M398362082,95721.31,Mobile,107.34.101.226,-28.08797,-84.772488,0
PAYMENT,36489.29,C675770529,97311.58,17:18,M234031070,37853.44,Web,168.236.230.102,13.923386,73.645861,0
PAYMENT,33066.55,C930075810,98522.15,3:24,M410727955,85531.77,Desktop,126.172.223.103,-60.722263,-52.102548,0
WITHDRAWAL,13356.22,C833953718,7140.25,17:46,M795822698,63497.83,Mobile,51.128.107.79,88.114203,50.399914,0
WITHDRAWAL,10988.56,C448195935,77599.99,1:51,M924970419,22904.81,Desktop,112.78.26.64,74.364502,24.184819,0
WITHDRAWAL,15740.75,C803771909,39563.19,14:9,M636045484,91454.76,Desktop,45.73.200.153,7.015912,88.924972,0
TRANSFER,44892.17,C528853029,21932.08,16:31,M488690725,99753.76,Mobile,203.22.230.38,-62.488563,-122.406479,0
WITHDRAWAL,21113.78,C168212356,38161.93,16:16,M513140753,99612.14,Web,230.251.12.184,39.729927,65.415733,0
WITHDRAWAL,37546.38,C925276600,34017.55,5:29,M788227492,29350.01,Mobile,254.194.234.194,-42.589971,0.211001,0
PAYMENT,25389.01,C214257751,29844.48,19:12,M771410971,63894.95,Mobile,105.205.51.148,81.629955,152.076269,1
PAYMENT,29951.24,C624636385,11186.77,9:15,M120912992,36298.08,Mobile,71.234.155.252,-75.823731,83.486734,0
PAYMENT,48899.44,C671988889,12576.05,17:10,M922308461,65975.08,Desktop,145.233.165.118,83.585323,154.408857,0
WITHDRAWAL,34496.48,C865523129,39899.23,11:28,M434702822,67168.7,Web,125.40.73.67,-78.475339,-172.427666,0
WITHDRAWAL,11513.44,C336456621,7099.31,7:4,M107721109,63110.3,Mobile,230.94.28.141,-47.159166,60.832,0
PAYMENT,26966.3,C876693898,57621.16,15:51,M713152854,24299.72,Desktop,58.34.34.178,-12.410787,-27.511696,0
TRANSFER,43193.2,C158165865,65345.55,1:25,M823019672,64617.98,Web,96.214.230.37,-45.24186,-111.524793,0
TRANSFER,7017.71,C297018781,46262.81,2:28,M399085574,87448.6,Web,35.22.176.148,60.484965,168.838653,0
PAYMENT,8323.89,C621453189,21374.73,1:10,M616854671,40104.03,Desktop,10.109.77.247,51.132708,-16.196988,0
TRANSFER,34832.61,C884374109,55576.83,4:12,M941128035,71840.83,Desktop,65.24.158.198,7.595136,89.271202,0
PAYMENT,2516.62,C611947770,91938.71,1:32,M639931481,53112.61,Mobile,227.57.27.162,-77.767045,130.254913,0
TRANSFER,6003.13,C711684318,57891.91,2:26,M364371717,3974.17,Web,159.154.143.90,78.247126,-106.466688,0
WITHDRAWAL,15716.05,C385201412,13087.83,14:20,M524971817,64550.08,Mobile,12.127.169.154,89.297361,-153.62614,0
PAYMENT,25299.18,C242224154,88086.42,11:18,M474745382,87927.02,Mobile,122.223.149.190,-35.546914,174.187192,0
WITHDRAWAL,26451.75,C817112652,55460.23,3:56,M977358886,93175.6,Mobile,77.39.237.37,43.635003,-124.038752,0
TRANSFER,30245.44,C870530217,20359.73,8:32,M468164906,63423.8,Desktop,74.241.242.226,-80.856199,48.342401,0
TRANSFER,2213.9,C458153605,13081.97,5:47,M927982963,97979.8,Desktop,151.190.119.153,-88.259454,-152.91221,0
WITHDRAWAL,45197.39,C685823118,83459.5,4:27,M138684919,58250.96,Mobile,20.88.103.240,77.955842,169.990655,0
PAYMENT,44947.24,C325567963,24952.97,17:56,M832363533,10279.36,Desktop,168.201.49.246,77.378583,131.258051,0
PAYMENT,44072.0,C126614158,73656.45,13:51,M292587044,33218.55,Web,231.198.217.73,-41.974972,103.454823,0
PAYMENT,19133.26,C141580226,22243.37,14:22,M605399561,81658.66,Desktop,220.213.233.68,-49.873762,57.611946,0
TRANSFER,16419.81,C174539964,27912.5,12:43,M930353157,64148.17,Web,94.250.17.39,67.866914,-85.962529,0
WITHDRAWAL,48127.09,C385042337,10840.25,23:50,M141078352,43456.38,Desktop,121.165.140.39,-20.664822,27.571696,0
TRANSFER,2228.88,C568213197,51992.03,21:46,M101815992,80651.09,Web,198.181.60.103,-12.366468,161.594815,1
TRANSFER,31161.54,C812306873,71975.43,9:42,M233815413,30032.23,Desktop,93.113.188.85,9.794246,-110.937567,0
WITHDRAWAL,47018.78,C827264603,90280.55,9:25,M903303363,61551.49,Web,223.10.87.83,-52.167117,102.873178,0
WITHDRAWAL,32738.73,C599277266,44215.98,15:50,M574364121,21370.14,Web,53.178.31.82,2.781362,47.858708,0
TRANSFER,4678.43,C906528433,67279.57,6:9,M352188235,22464.07,Mobile,21.72.131.166,62.952785,-153.781837,0
TRANSFER,44307.98,C718121922,71834.59,12:15,M308773243,38397.85,Mobile,177.186.11.238,45.173606,97.216628,0
PAYMENT,38923.24,C334978881,80410.99,14:3,M288856883,69591.18,Web,73.244.227.41,-7.836871,108.509977,0
WITHDRAWAL,26561.28,C700141462,31729.8,14:39,M739362057,75525.0,Web,238.139.119.222,73.233851,-19.4711,0
PAYMENT,37185.34,C609677794,25919.15,20:17,M583258726,24723.97,Web,134.170.71.80,-10.822933,76.876151,0
PAYMENT,13593.04,C443285529,8057.77,12:44,M679984033,15083.07,Mobile,190.64.26.116,-16.632113,15.340011,0
TRANSFER,3122.66,C994310083,38947.68,22:1,M551125671,76979.58,Web,107.132.11.251,-26.683416,91.251045,0
TRANSFER,26915.65,C888807316,79986.82,15:14,M686405096,89781.13,Desktop,121.134.17.109,-29.496682,64.491079,0
TRANSFER,36211.83,C601856351,98072.2,12:37,M237039296,53412.36,Web,179.16.31.174,-12.849701,132.066488,0
PAYMENT,2523.73,C507059676,21166.03,12:17,M451492250,32684.58,Desktop,74.223.30.130,-86.511008,14.190857,0
TRANSFER,11218.87,C173678414,95728.56,0:15,M938842599,4025.81,Mobile,224.15.169.49,-47.06191,-9.518018,0
PAYMENT,28202.84,C334037646,69946.5,5:38,M599326438,76689.81,Web,201.193.39.209,57.474211,167.299478,0
PAYMENT,28938.45,C434961542,67734.73,12:45,M718257024,95817.28,Mobile,29.161.186.222,22.903631,-143.31553,1
TRANSFER,42516.16,C744687060,12105.51,1:22,M964929067,98384.44,Web,119.179.104.27,1.072942,-57.156777,0
TRANSFER,41118.32,C213321496,96078.76,14:45,M565492204,63558.51,Mobile,121.55.197.143,83.785272,-82.770337,0
WITHDRAWAL,38734.33,C599154414,82573.46,10:54,M567694547,59247.46,Mobile,222.249.32.81,68.693613,-92.209162,0
TRANSFER,28496.78,C817461907,33639.66,10:11,M506936666,49430.65,Desktop,64.100.214.76,-28.739008,136.915193,0
WITHDRAWAL,44006.57,C696776072,51662.73,7:46,M110899674,19105.64,Desktop,135.152.204.71,34.309681,52.525044,0
TRANSFER,22414.25,C118514813,29423.56,7:19,M199915275,40440.11,Web,158.104.131.151,5.565948,-26.818627,0
WITHDRAWAL,27523.92,C477753674,45374.53,7:7,M854684750,30662.3,Web,59.90.40.200,6.455514,94.388259,0
PAYMENT,9585.13,C893070706,27649.96,16:38,M619904272,58958.69,Desktop,35.223.59.85,-49.053031,-115.401044,0
PAYMENT,35403.84,C235917419,4551.57,9:44,M394539550,5452.6,Mobile,173.232.202.135,-71.534224,-175.584455,0
TRANSFER,23475.15,C572949775,18436.37,15:7,M465830215,5137.67,Mobile,112.135.28.157,23.300227,-160.700733,0
PAYMENT,40558.99,C426240903,99391.81,13:38,M191462297,11845.16,Web,212.168.67.208,4.063056,-17.814793,0
TRANSFER,14874.68,C731924051,30538.02,19:47,M560452529,62102.73,Mobile,252.205.63.170,-52.015465,57.754129,0
PAYMENT,12000.86,C692697161,15653.26,22:38,M180600295,40851.76,Desktop,84.18.69.83,37.252049,73.075521,0
